127.0.0.1 - - [30/Mar/2023:09:17:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:05 +0900] "GET /AA/WEB-INF/views/main/main.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:07 +0900] "GET /AA/resources/css/main.css HTTP/1.1" 200 27408
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:08 +0900] "GET /AA/main/main.do HTTP/1.1" 200 33000
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:08 +0900] "GET /AA/resources/image/1st.png HTTP/1.1" 200 85918
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:08 +0900] "GET /AA/resources/image/2st.png HTTP/1.1" 200 105547
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:08 +0900] "GET /AA/thumbnails.do?goods_num=30&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:08 +0900] "GET /AA/thumbnails.do?goods_num=7&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:08 +0900] "GET /AA/thumbnails.do?goods_num=35&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:08 +0900] "GET /AA/resources/image/slider_1.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:08 +0900] "GET /AA/resources/image/3st.png HTTP/1.1" 200 134385
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:08 +0900] "GET /AA/thumbnails.do?goods_num=1&fileName=test.jpg HTTP/1.1" 200 22485
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:09 +0900] "GET /AA/member/loginForm.do HTTP/1.1" 200 25866
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:12 +0900] "POST /AA/member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:12 +0900] "GET /AA/main/main.do HTTP/1.1" 200 33480
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:12 +0900] "GET /AA/thumbnails.do?goods_num=35&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:12 +0900] "GET /AA/thumbnails.do?goods_num=26&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:12 +0900] "GET /AA/thumbnails.do?goods_num=30&fileName=main1.jpg HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:12 +0900] "GET /AA/resources/image/slider_1.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:12 +0900] "GET /AA/thumbnails.do?goods_num=1&fileName=test.jpg HTTP/1.1" 200 22485
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:34 +0900] "GET /AA/resources/imgs/sticky_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [30/Mar/2023:09:17:34 +0900] "GET /AA/resources/imgs/nav_back.jpg HTTP/1.1" 404 721
