127.0.0.1 - - [06/Apr/2023:13:51:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:14 +0900] "GET /AA2/WEB-INF/classes/mybatis/mappers/order.xml HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:14 +0900] "GET /AA/resources/css/main.css HTTP/1.1" 200 27141
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:15 +0900] "GET /AA/main/main.do HTTP/1.1" 200 31013
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:15 +0900] "GET /AA/resources/image/design_01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:15 +0900] "GET /AA/resources/image/it_01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:15 +0900] "GET /AA/resources/image/picture_01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:15 +0900] "GET /AA/resources/image/ma2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:15 +0900] "GET /AA/resources/image/report_01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:15 +0900] "GET /AA/resources/image/gift_01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:15 +0900] "GET /AA/resources/image/law_01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:15 +0900] "GET /AA/resources/image/1st.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:15 +0900] "GET /AA/resources/image/2st.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:15 +0900] "GET /AA/resources/image/3st.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:15 +0900] "GET /AA/resources/image/slider_1.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:17 +0900] "GET /AA/member/loginForm.do HTTP/1.1" 200 25776
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:21 +0900] "POST /AA/member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:21 +0900] "GET /AA/main/main.do HTTP/1.1" 200 31512
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:21 +0900] "GET /AA/resources/image/slider_1.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:26 +0900] "GET /AA/mypage/myDetailInfo.do HTTP/1.1" 200 40691
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:26 +0900] "GET /AA/resources/imgs/sticky_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:26 +0900] "GET /AA/resources/imgs/nav_back.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:34 +0900] "GET /AA/mypage/myOrderCheck.do HTTP/1.1" 500 6914
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:46 +0900] "GET /AA/main/main.do HTTP/1.1" 200 31512
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:46 +0900] "GET /AA/resources/image/slider_1.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:46 +0900] "GET /AA/goods/goodsListByCategory.do HTTP/1.1" 200 30551
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:49 +0900] "GET /AA/main/main.do HTTP/1.1" 200 31512
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:49 +0900] "GET /AA/resources/image/slider_1.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:50 +0900] "GET /AA/mypage/myDetailInfo.do HTTP/1.1" 200 40691
0:0:0:0:0:0:0:1 - - [06/Apr/2023:13:51:51 +0900] "GET /AA/main/main.do HTTP/1.1" 200 31512
